grid_id,latitude,longitude,Mean_B2,Mean_B3,Mean_B4,Mean_B8,Mean_B11,Mean_B12,Mean_NBR,Std_NBR,Burn_Label
4196,-0.450982,110.055345,1960.859276,1899.620375,1697.888901,3682.608358,1885.755758,1511.541800,0.417753,0.026397,0
4197,-0.446459,110.055345,1944.318720,1906.850444,1706.802257,3649.194831,1897.799376,1539.077271,0.406705,0.025796,0
4198,-0.441935,110.055346,2094.516645,2048.494864,1835.589415,3814.544738,1963.725468,1576.735385,0.415110,0.027918,0
4199,-0.437412,110.055347,1876.640293,1865.818638,1649.384723,3841.379952,1906.479343,1466.247322,0.447673,0.026432,0
4200,-0.432889,110.055347,1780.883507,1771.625380,1565.227808,3654.911315,1821.761900,1408.341247,0.443754,0.026454,0
4201,-0.428366,110.055348,1627.801848,1604.416135,1381.049293,3523.794840,1719.963359,1272.051320,0.469638,0.026705,0
4202,-0.423843,110.055348,1661.252347,1648.242374,1438.129190,3506.139221,1731.448945,1285.122993,0.463572,0.020009,0
4203,-0.419320,110.055349,1929.629853,1886.816479,1671.247511,3557.755274,1821.444023,1395.256893,0.436595,0.019411,0
4204,-0.414797,110.055349,1931.537004,1892.234713,1678.054980,3627.153681,1880.130706,1400.514074,0.442874,0.021739,0
4205,-0.410274,110.055350,2014.674565,1964.098731,1763.693245,3596.937876,1876.263687,1414.675197,0.435563,0.023212,0
4206,-0.405751,110.055350,1890.092094,1825.851631,1618.866985,3507.127594,1795.223179,1353.629307,0.443020,0.022293,0
4207,-0.401228,110.055351,1950.451556,1899.858095,1688.529853,3553.054649,1836.854812,1392.274340,0.436953,0.021518,0
4208,-0.396705,110.055351,1852.954597,1840.746921,1630.588815,3679.755154,1852.067326,1400.023306,0.448449,0.027633,0
4209,-0.392182,110.055352,1825.787096,1816.886395,1596.799292,3739.006672,1808.310550,1361.167222,0.465760,0.028579,0
4210,-0.387953,110.055449,1525.544071,1574.698784,1380.081805,3578.583281,1777.277463,1299.137368,0.465715,0.034268,0
4211,-2.751444,110.060278,1374.133579,1463.943499,1203.198504,3359.407255,1718.627025,1087.083895,0.509437,0.083060,0
4212,-2.748497,110.058938,1208.961940,1313.688840,1097.620873,3439.236807,1756.699999,1066.111357,0.522266,0.058766,0
4213,-2.744144,110.058795,1408.316640,1485.707745,1270.089982,3921.918376,1818.004632,1106.751553,0.558592,0.040894,0
4214,-2.739698,110.058867,1442.195342,1549.720299,1365.219866,3558.778267,2074.425236,1246.773497,0.476733,0.094644,0
4215,-2.736100,110.060172,1457.462152,1620.708411,1468.819221,2880.508129,1941.588892,1246.318817,0.395997,0.068985,0
4217,-2.376422,110.060040,981.876442,1132.116728,947.799782,3503.863638,1463.378688,863.735893,0.595752,0.098304,0
4218,-2.374251,110.060516,889.843978,1046.878153,857.968245,3114.150150,1440.190089,838.652054,0.537048,0.163831,0
4219,-1.924665,110.059810,1000.439742,1171.119179,1050.848594,3318.817013,1987.539827,1268.968935,0.442618,0.137204,0
4220,-1.920964,110.059342,977.065923,1146.733738,1010.831446,3423.200975,2018.546715,1217.706877,0.471360,0.086376,0
4221,-1.916441,110.059344,1095.428217,1284.394662,1116.778633,3531.497736,2210.512033,1305.939372,0.455086,0.074849,0
4222,-1.911918,110.059346,980.562259,1168.950623,1009.711893,3379.440163,2130.440107,1262.184461,0.453293,0.078166,0
4223,-1.907395,110.059349,1106.834774,1293.547878,1205.802165,3282.767382,2255.782936,1450.429903,0.379411,0.115027,0
4224,-1.902872,110.059351,944.826622,1129.164495,1003.418910,3285.762929,2151.935535,1301.725545,0.429322,0.073047,0
4225,-1.898349,110.059354,982.274159,1191.182049,1046.103036,3426.730815,2214.252348,1329.989730,0.437828,0.067603,0
4226,-1.892189,110.059086,1356.064348,1504.570196,1358.766144,3491.535577,2426.830755,1537.635221,0.386875,0.079567,0
4227,-1.894415,110.059453,1218.828320,1370.716383,1213.570919,3405.289698,2235.397051,1413.584020,0.406733,0.073353,0
4228,-1.889303,110.059359,1336.999162,1465.508736,1331.880341,3432.807461,2284.974892,1463.238007,0.399198,0.059924,0
4229,-1.884780,110.059361,1218.210405,1349.617557,1192.950918,3556.924866,2293.817722,1392.155394,0.434916,0.049599,0
4230,-1.880257,110.059364,1243.060159,1347.055625,1217.826011,3066.228708,2141.618734,1369.180653,0.378015,0.076441,0
4231,-1.875734,110.059366,1331.923437,1398.656375,1270.861844,2787.666223,2180.894187,1418.457409,0.324550,0.046280,0
4232,-1.871211,110.059368,1309.074878,1433.410728,1308.879640,3034.258146,2240.064779,1415.364270,0.362521,0.036177,0
4233,-1.866688,110.059371,1289.924438,1434.752096,1216.892765,3697.719699,2008.055231,1264.511233,0.490036,0.032640,0
4234,-1.862165,110.059373,1290.573391,1443.834517,1225.806379,3809.841930,1929.363733,1244.345994,0.507426,0.025095,0
4235,-1.857642,110.059376,1186.614278,1349.941891,1141.515196,3701.268073,2022.798789,1272.648213,0.487091,0.058865,0
4236,-1.853119,110.059378,1121.033054,1305.098084,1097.557478,3631.013320,2013.283574,1227.005060,0.488793,0.087076,0
4237,-1.848847,110.059093,1300.259712,1469.599767,1331.513786,3224.957825,1818.423640,1209.497166,0.438354,0.088052,0
4238,-1.847296,110.060867,1440.718795,1594.364542,1556.816027,2334.515921,1450.584645,1145.164278,0.334826,0.060725,0
4239,-1.845488,110.057868,1517.201429,1657.417286,1570.051895,2663.227289,1572.533087,1204.116692,0.365339,0.073069,0
4240,-1.843848,110.059624,1435.080128,1555.779319,1375.377885,3415.784726,2050.242743,1362.260663,0.423869,0.057418,0
4241,-1.839550,110.059385,1453.212433,1560.917477,1394.609287,3254.207096,2303.574758,1478.972353,0.374306,0.032021,0
4242,-1.835027,110.059388,1266.856786,1417.221211,1226.025730,3389.200848,2275.284297,1400.820687,0.413165,0.070186,0
4243,-1.830504,110.059390,1239.432370,1366.130188,1216.423138,3466.087985,2188.133831,1346.367294,0.437190,0.075783,0
4244,-1.825981,110.059392,1270.815607,1367.320528,1195.125022,3639.584313,2113.482489,1316.853021,0.468343,0.048243,0
4245,-1.821458,110.059395,1037.616295,1149.600088,976.321265,3549.295851,2027.571640,1180.293731,0.500479,0.054268,0
4246,-1.816935,110.059397,1004.726101,1108.699799,960.355574,3401.294446,2002.685760,1166.753725,0.488629,0.047390,0
4247,-1.812412,110.059399,1113.806583,1209.553899,1053.235772,3614.352465,2051.544063,1237.216762,0.489075,0.041622,0
4248,-1.807889,110.059402,1297.767074,1448.445575,1224.644513,3988.791968,2014.444649,1263.946371,0.517226,0.036252,0
4249,-1.803366,110.059404,1298.619265,1433.892031,1216.283514,3675.838846,1875.625356,1208.009186,0.499580,0.062990,0
4250,-1.798843,110.059406,1231.415626,1366.994439,1134.029184,3601.989065,1779.715220,1146.583978,0.514978,0.038731,0
4251,-1.794320,110.059409,1292.576385,1425.041987,1184.070317,3820.535155,1904.987413,1195.630657,0.522472,0.025321,0
4252,-1.789797,110.059411,1129.810665,1303.244476,1071.582229,3732.470672,2029.953263,1219.041594,0.504104,0.070495,0
4253,-1.785274,110.059413,1063.614673,1216.799690,1004.069882,3775.419128,2100.313872,1220.433121,0.510372,0.039997,0
4254,-1.780751,110.059415,1040.324776,1162.147088,983.042205,3551.094505,1910.571586,1105.434415,0.522441,0.040047,0
4255,-1.776228,110.059418,1043.746353,1231.521570,1047.129298,4040.320196,2144.138681,1257.433252,0.523431,0.072938,0
4256,-1.771705,110.059420,1154.254614,1366.290010,1185.581200,3529.671233,2182.580765,1349.385833,0.446234,0.073241,0
4257,-1.767182,110.059422,1003.881044,1230.909332,1008.292862,3497.679525,2040.653162,1175.638162,0.495526,0.043509,0
4258,-1.762659,110.059425,1014.595136,1222.272448,996.705680,3342.498360,1999.667375,1130.260732,0.491509,0.048159,0
4259,-1.758136,110.059427,945.679507,1231.386221,913.377887,4182.990349,1782.098217,1035.564705,0.601027,0.034376,0
4260,-1.753613,110.059429,924.812900,1194.532474,863.962813,4383.050865,1756.101065,997.971520,0.627479,0.032146,0
4261,-1.749090,110.059431,914.520999,1185.087364,854.131393,4332.389260,1794.252957,997.897822,0.624405,0.026094,0
4262,-1.744567,110.059434,977.700040,1224.915240,904.748791,4309.890247,1825.443299,1042.481307,0.609329,0.034153,0
