pixel_id,latitude,longitude,Hotspot_Frequency,Confidence_Score,FRP_Max
116,-0.389083,110.470884,1,0.5,6.67
117,-0.389083,110.474252,1,0.5,6.67
118,-0.389083,110.53152,1,0.5,4.29
119,-0.389083,110.534888,1,0.5,4.29
120,-0.389083,110.538257,1,0.5,4.29
121,-0.392451,110.410247,2,0.75,32.65
122,-0.392451,110.413616,2,0.75,32.65
123,-0.392451,110.416985,2,0.75,32.65
124,-0.392451,110.447303,1,0.5,6.61
125,-0.392451,110.450671,1,0.5,6.61
126,-0.392451,110.45404,1,0.5,6.61
127,-0.392451,110.528151,1,0.5,31.03
128,-0.392451,110.53152,2,0.5,31.03
129,-0.392451,110.534888,1,0.5,4.29
130,-0.392451,110.538257,1,0.5,4.29
131,-0.39582,110.363086,1,0.5,5.98
132,-0.39582,110.366454,1,0.5,5.98
133,-0.39582,110.369823,1,0.5,5.98
134,-0.39582,110.410247,2,0.75,32.65
135,-0.39582,110.413616,2,0.75,32.65
136,-0.39582,110.416985,2,0.75,32.65
137,-0.39582,110.447303,1,0.5,6.61
138,-0.39582,110.450671,1,0.5,6.61
139,-0.39582,110.45404,1,0.5,6.61
140,-0.39582,110.507939,1,0.5,46.63
141,-0.39582,110.511308,1,0.5,46.63
142,-0.39582,110.514676,1,0.5,46.63
143,-0.39582,110.528151,1,0.5,31.03
144,-0.39582,110.53152,1,0.5,31.03
145,-0.39582,110.534888,1,0.5,10.97
146,-0.39582,110.538257,1,0.5,10.97
147,-0.39582,110.541626,1,0.5,10.97
148,-0.399189,110.342874,1,0.5,6.94
149,-0.399189,110.346242,1,0.5,6.94
150,-0.399189,110.363086,1,0.5,5.98
151,-0.399189,110.366454,1,0.5,5.98
152,-0.399189,110.369823,1,0.5,5.98
153,-0.399189,110.410247,1,1.0,32.65
154,-0.399189,110.413616,1,1.0,32.65
155,-0.399189,110.416985,1,1.0,32.65
156,-0.399189,110.447303,1,0.5,6.61
157,-0.399189,110.450671,1,0.5,6.61
158,-0.399189,110.45404,1,0.5,6.61
159,-0.399189,110.474252,1,0.5,5.12
160,-0.399189,110.477621,1,0.5,5.12
161,-0.399189,110.507939,2,0.5,46.63
162,-0.399189,110.511308,2,0.5,46.63
163,-0.399189,110.514676,2,0.5,46.63
164,-0.399189,110.528151,1,0.5,31.03
165,-0.399189,110.53152,1,0.5,31.03
166,-0.399189,110.534888,1,0.5,10.97
167,-0.399189,110.538257,1,0.5,10.97
168,-0.399189,110.541626,1,0.5,10.97
169,-0.402558,110.339505,1,0.5,6.94
170,-0.402558,110.342874,1,0.5,6.94
171,-0.402558,110.346242,1,0.5,6.94
172,-0.402558,110.379929,1,0.5,5.16
173,-0.402558,110.383298,1,0.5,5.16
174,-0.402558,110.386666,1,0.5,5.16
175,-0.402558,110.410247,1,0.5,6.31
176,-0.402558,110.413616,1,0.5,6.31
177,-0.402558,110.416985,1,0.5,6.31
178,-0.402558,110.427091,1,0.5,22.99
179,-0.402558,110.430459,1,0.5,22.99
180,-0.402558,110.433828,1,0.5,22.99
181,-0.402558,110.437197,1,0.5,22.99
182,-0.402558,110.440565,1,0.5,22.99
183,-0.402558,110.443934,1,0.5,3.42
184,-0.402558,110.447303,1,0.5,3.42
185,-0.402558,110.450671,1,0.5,3.42
186,-0.402558,110.474252,1,0.5,5.12
187,-0.402558,110.477621,1,0.5,5.12
188,-0.402558,110.507939,2,0.5,46.63
189,-0.402558,110.511308,2,0.5,46.63
190,-0.402558,110.514676,2,0.5,46.63
191,-0.402558,110.524782,1,0.5,10.35
192,-0.402558,110.528151,1,0.5,10.35
193,-0.402558,110.53152,1,0.5,10.35
194,-0.402558,110.534888,1,0.5,10.35
195,-0.405926,110.329399,1,0.5,12.08
196,-0.405926,110.332768,1,0.5,12.08
197,-0.405926,110.379929,1,0.5,5.16
198,-0.405926,110.383298,1,0.5,5.16
199,-0.405926,110.386666,1,0.5,5.16
200,-0.405926,110.410247,1,0.5,6.31
201,-0.405926,110.413616,1,0.5,6.31
202,-0.405926,110.416985,1,0.5,6.31
203,-0.405926,110.427091,1,0.5,22.99
204,-0.405926,110.430459,1,0.5,22.99
205,-0.405926,110.433828,1,0.5,22.99
206,-0.405926,110.437197,1,0.5,22.99
207,-0.405926,110.440565,1,0.5,22.99
208,-0.405926,110.443934,1,0.5,3.42
209,-0.405926,110.447303,1,0.5,3.42
210,-0.405926,110.450671,1,0.5,3.42
211,-0.405926,110.474252,1,0.5,5.12
212,-0.405926,110.477621,1,0.5,5.12
213,-0.405926,110.507939,1,0.5,24.71
214,-0.405926,110.511308,1,0.5,24.71
215,-0.405926,110.514676,1,0.5,16.99
216,-0.405926,110.524782,1,0.5,10.35
217,-0.405926,110.528151,1,0.5,10.35
218,-0.405926,110.53152,1,0.5,10.35
219,-0.405926,110.534888,1,0.5,10.35
220,-0.409295,110.319293,2,0.5,117.11
221,-0.409295,110.322661,2,0.5,117.11
222,-0.409295,110.32603,1,0.5,12.08
223,-0.409295,110.329399,1,0.5,12.08
224,-0.409295,110.332768,1,0.5,12.08
225,-0.409295,110.339505,1,0.5,4.94
226,-0.409295,110.342874,1,0.5,4.94
227,-0.409295,110.346242,1,0.5,4.94
228,-0.409295,110.379929,1,0.5,5.16
229,-0.409295,110.383298,1,0.5,5.16
230,-0.409295,110.386666,1,0.5,5.16
