Cluster,Pixel_Count,Percentage,Mean_Hotspot_Frequency,Median_Hotspot_Frequency,Std_Hotspot_Frequency,Min_Hotspot_Frequency,Max_Hotspot_Frequency,Mean_FRP_Max,Median_FRP_Max,Std_FRP_Max,Min_FRP_Max,Max_FRP_Max
37,124,0.615506800357391,2.0,2.0,0.0,2,2,26.483709677419355,25.87,1.2438208035928264,24.71,28.87
38,27,0.13402164201330288,1.0,1.0,0.0,1,1,17.745185185185186,17.76,0.04964259727680879,17.6,17.8
39,68,0.33753598729276285,1.0,1.0,0.0,1,1,17.323529411764707,17.28,0.11974805274810073,17.17,17.51
40,34,0.16876799364638143,1.0,1.0,0.0,1,1,22.74441176470588,22.76,0.058163363271861286,22.65,22.9
41,41,0.2035143452794599,1.0,1.0,0.0,1,1,14.964146341463413,14.96,0.027016255269382942,14.91,15.0
42,37,0.18365928720341507,1.0,1.0,0.0,1,1,16.12108108108108,16.1,0.04254303597428901,16.09,16.22
43,41,0.2035143452794599,1.0,1.0,0.0,1,1,15.950000000000001,15.96,0.03570714214271466,15.9,16.01
44,99,0.49141268738211064,1.0,1.0,0.0,1,1,21.577676767676767,21.61,0.20433979445425987,21.21,21.89
45,64,0.3176809292167179,1.0,1.0,0.0,1,1,22.21,22.21,0.13801311186847204,22.0,22.39
46,66,0.3276084582547404,1.0,1.0,0.0,1,1,14.227121212121212,14.22,0.08016838340000185,13.95,14.35
47,52,0.2581157549885833,1.0,1.0,0.0,1,1,18.05173076923077,18.04,0.05178087896943976,17.99,18.17
48,61,0.3027896356596843,1.0,1.0,0.0,1,1,16.502131147540982,16.49,0.03061125904512688,16.45,16.57
49,41,0.2035143452794599,1.0,1.0,0.0,1,1,16.65878048780488,16.67,0.023472869653201,16.62,16.7
50,170,0.843839968231907,2.0,2.0,0.0,2,2,19.97470588235294,19.95,0.8157155906425115,18.53,21.41
51,30,0.14891293557033655,1.0,1.0,0.0,1,1,20.576666666666664,20.57,0.04633709568781241,20.5,20.65
52,51,0.25315199046957215,1.0,1.0,0.0,1,1,16.888235294117646,16.89,0.01807826123861947,16.86,16.95
53,28,0.13898540653231412,1.0,1.0,0.0,1,1,16.98785714285714,16.99,0.010665674557037073,16.95,17.0
54,26,0.12905787749429165,1.0,1.0,0.0,1,1,21.038846153846155,21.05,0.0181828321395593,21.02,21.06
55,55,0.27300704854561697,1.0,1.0,0.0,1,1,20.841272727272727,20.84,0.0471818603504352,20.77,20.93
56,26,0.12905787749429165,1.0,1.0,0.0,1,1,14.72653846153846,14.73,0.030586573223204606,14.67,14.76
57,30,0.14891293557033655,1.0,1.0,0.0,1,1,14.583,14.58,0.01207733699809271,14.57,14.6
58,35,0.17373175816539263,1.0,1.0,0.0,1,1,20.306857142857144,20.3,0.06402074243700112,20.18,20.41
59,68,0.33753598729276285,1.0,1.0,0.0,1,1,15.361323529411763,15.37,0.037452633240014604,15.3,15.44
60,51,0.25315199046957215,1.0,1.0,0.0,1,1,15.548627450980392,15.55,0.0494780601011448,15.47,15.61
61,50,0.24818822595056092,1.0,1.0,0.0,1,1,18.8278,18.86,0.07060352075397631,18.65,18.95
62,69,0.34249975181177406,1.0,1.0,0.0,1,1,0.9617391304347827,0.96,0.07016695471891922,0.86,1.06
63,37,0.18365928720341507,1.0,1.0,0.0,1,1,18.526756756756757,18.53,0.02896876229991893,18.47,18.56
64,37,0.18365928720341507,1.0,1.0,0.0,1,1,18.344864864864864,18.33,0.03753676876089599,18.3,18.43
65,41,0.2035143452794599,1.0,1.0,0.0,1,1,13.801707317073172,13.81,0.03137693731265037,13.75,13.85
66,61,0.3027896356596843,1.0,1.0,0.0,1,1,19.971967213114752,19.99,0.07458372637805834,19.83,20.08
67,39,0.1935868162414375,1.0,1.0,0.0,1,1,0.5402564102564102,0.54,0.013076129213023301,0.52,0.56
68,47,0.23329693239352725,1.0,1.0,0.0,1,1,0.44191489361702124,0.44,0.028638549413132576,0.4,0.48
69,35,0.17373175816539263,1.0,1.0,0.0,1,1,0.6894285714285714,0.69,0.019088471596729755,0.67,0.73
70,26,0.12905787749429165,1.0,1.0,0.0,1,1,0.7907692307692309,0.8,0.012624761993186956,0.77,0.8
71,44,0.21840563883649358,1.0,1.0,0.0,1,1,19.230909090909094,19.23,0.031090130178292645,19.17,19.28
72,49,0.2432244614315497,1.0,1.0,0.0,1,1,19.08795918367347,19.1,0.04188175775505326,19.02,19.14
73,38,0.18862305172242627,1.0,1.0,0.0,1,1,1.1644736842105263,1.17,0.02333045433705178,1.12,1.24
74,26,0.12905787749429165,1.0,1.0,0.0,1,1,12.666538461538462,12.65,0.02243966268771577,12.64,12.69
75,37,0.18365928720341507,1.0,1.0,0.0,1,1,19.501621621621624,19.51,0.03531709638825609,19.44,19.55
76,37,0.18365928720341507,1.0,1.0,0.0,1,1,19.692432432432433,19.7,0.03890197120151014,19.62,19.74
77,43,0.21344187431748238,1.0,1.0,0.0,1,1,13.672325581395349,13.67,0.006109013365249053,13.67,13.69
78,45,0.22336940335550481,1.0,1.0,0.0,1,1,13.354222222222223,13.34,0.017899833530063854,13.34,13.38
79,36,0.17869552268440386,2.0,2.0,0.0,2,2,16.74972222222222,16.7,0.26133160227803803,16.25,17.22
80,52,0.2581157549885833,2.0,2.0,0.0,2,2,15.886538461538462,15.945,0.14993965603698292,15.58,16.1
81,34,0.16876799364638143,1.0,1.0,0.0,1,1,13.439411764705882,13.45,0.011791413535072048,13.42,13.45
82,36,0.17869552268440386,1.0,1.0,0.0,1,1,13.230833333333333,13.22,0.02129721645125067,13.21,13.27
83,49,0.2432244614315497,1.0,1.0,0.0,1,1,13.497142857142858,13.5,0.010606601717797872,13.48,13.51
84,51,0.25315199046957215,1.0,1.0,0.0,1,1,13.5721568627451,13.57,0.018473085880836786,13.54,13.61
85,27,0.13402164201330288,1.0,1.0,0.0,1,1,13.102592592592591,13.1,0.01583389562654352,13.09,13.14
86,34,0.16876799364638143,1.0,1.0,0.0,1,1,11.526764705882352,11.53,0.01319333813418672,11.51,11.54
87,41,0.2035143452794599,1.0,1.0,0.0,1,1,10.533658536585365,10.53,0.0233191013507145,10.51,10.62
88,68,0.33753598729276285,1.0,1.0,0.0,1,1,10.710735294117647,10.705,0.041332874288237086,10.64,10.81
89,59,0.2928621066216619,1.0,1.0,0.0,1,1,12.081016949152541,12.09,0.019360011689066935,12.03,12.11
90,26,0.12905787749429165,2.0,2.0,0.0,2,2,14.314615384615385,14.3,0.08065882564137755,14.21,14.49
91,32,0.15884046460835896,2.0,2.0,0.0,2,2,14.908750000000001,14.9,0.0965785657112319,14.68,15.06
92,39,0.1935868162414375,1.0,1.0,0.0,1,1,12.45076923076923,12.44,0.01345257075502776,12.44,12.47
93,51,0.25315199046957215,1.0,1.0,0.0,1,1,1.3423529411764705,1.31,0.04990343616602423,1.3,1.42
94,33,0.1638042291273702,1.0,1.0,0.0,1,1,9.51969696969697,9.52,0.007282190812544248,9.51,9.53
95,32,0.15884046460835896,1.0,1.0,0.0,1,1,12.8609375,12.86,0.014223872482102653,12.83,12.89
96,78,0.387173632482875,1.0,1.0,0.0,1,1,12.948076923076924,12.95,0.021140082708047833,12.92,13.0
97,124,0.615506800357391,1.0,1.0,0.0,1,1,10.931290322580645,10.93,0.05454866913097155,10.84,11.0
98,31,0.15387670008934776,1.0,1.0,0.0,1,1,11.056451612903226,11.07,0.015176382330620857,11.04,11.07
99,99,0.49141268738211064,1.0,1.0,0.0,1,1,11.65838383838384,11.67,0.03759904120323072,11.59,11.74
100,43,0.21344187431748238,1.0,1.0,0.0,1,1,11.933720930232557,11.94,0.01786500380685172,11.9,11.96
101,63,0.3127171646977068,1.0,1.0,0.0,1,1,10.349047619047619,10.35,0.015731034224996655,10.32,10.37
