pixel_id,latitude,longitude,Hotspot_Frequency,Confidence_Score,FRP_Max,Cluster
201,-0.405926,110.413616,1,0.5,6.31,187
202,-0.405926,110.416985,1,0.5,6.31,187
203,-0.405926,110.427091,1,0.5,22.99,-1
204,-0.405926,110.430459,1,0.5,22.99,-1
205,-0.405926,110.433828,1,0.5,22.99,-1
206,-0.405926,110.437197,1,0.5,22.99,35
207,-0.405926,110.440565,1,0.5,22.99,35
208,-0.405926,110.443934,1,0.5,3.42,296
209,-0.405926,110.447303,1,0.5,3.42,296
210,-0.405926,110.450671,1,0.5,3.42,296
211,-0.405926,110.474252,1,0.5,5.12,253
212,-0.405926,110.477621,1,0.5,5.12,253
213,-0.405926,110.507939,1,0.5,24.71,31
214,-0.405926,110.511308,1,0.5,24.71,31
215,-0.405926,110.514676,1,0.5,16.99,53
216,-0.405926,110.524782,1,0.5,10.35,101
217,-0.405926,110.528151,1,0.5,10.35,101
218,-0.405926,110.53152,1,0.5,10.35,101
219,-0.405926,110.534888,1,0.5,10.35,101
220,-0.409295,110.319293,2,0.5,117.11,-1
221,-0.409295,110.322661,2,0.5,117.11,-1
222,-0.409295,110.32603,1,0.5,12.08,89
223,-0.409295,110.329399,1,0.5,12.08,89
224,-0.409295,110.332768,1,0.5,12.08,89
225,-0.409295,110.339505,1,0.5,4.94,242
226,-0.409295,110.342874,1,0.5,4.94,242
227,-0.409295,110.346242,1,0.5,4.94,242
228,-0.409295,110.379929,1,0.5,5.16,158
229,-0.409295,110.383298,1,0.5,5.16,158
230,-0.409295,110.386666,1,0.5,5.16,158
231,-0.409295,110.410247,1,0.5,6.31,187
232,-0.409295,110.413616,1,0.5,6.31,187
233,-0.409295,110.416985,2,0.5,17.32,-1
234,-0.409295,110.420353,1,0.5,17.32,39
235,-0.409295,110.423722,1,0.5,17.32,39
236,-0.409295,110.427091,1,0.5,22.99,35
237,-0.409295,110.430459,1,0.5,22.99,-1
238,-0.409295,110.433828,1,0.5,22.99,-1
239,-0.409295,110.437197,1,0.5,22.99,-1
240,-0.409295,110.440565,1,0.5,22.99,-1
241,-0.409295,110.443934,1,0.5,3.42,296
242,-0.409295,110.447303,1,0.5,3.42,296
243,-0.409295,110.450671,1,0.5,3.42,296
244,-0.409295,110.507939,1,0.5,6.61,174
245,-0.409295,110.511308,1,0.5,6.61,174
246,-0.409295,110.514676,1,0.5,6.61,174
247,-0.409295,110.524782,1,0.5,10.35,101
248,-0.409295,110.528151,1,0.5,10.35,101
249,-0.409295,110.53152,1,0.5,10.35,101
250,-0.409295,110.534888,1,0.5,10.35,101
251,-0.409295,110.555101,1,0.5,3.39,299
252,-0.409295,110.558469,1,0.5,3.39,299
253,-0.409295,110.561838,1,0.5,3.39,299
254,-0.412664,110.319293,2,0.5,117.11,-1
255,-0.412664,110.322661,2,0.5,117.11,-1
256,-0.412664,110.32603,1,0.5,117.11,-1
257,-0.412664,110.339505,1,0.5,4.94,242
258,-0.412664,110.342874,1,0.5,4.94,242
259,-0.412664,110.346242,1,0.5,4.94,242
260,-0.412664,110.416985,2,0.5,17.32,-1
261,-0.412664,110.420353,2,0.75,17.32,-1
262,-0.412664,110.423722,2,0.75,17.32,-1
263,-0.412664,110.427091,2,0.75,17.32,-1
264,-0.412664,110.430459,1,0.5,12.58,-1
265,-0.412664,110.433828,1,0.5,12.58,-1
266,-0.412664,110.437197,1,1.0,13.21,82
267,-0.412664,110.440565,1,1.0,13.21,82
268,-0.412664,110.443934,1,1.0,13.21,82
269,-0.412664,110.447303,1,0.5,11.0,97
270,-0.412664,110.507939,1,0.5,6.61,174
271,-0.412664,110.511308,1,0.5,6.61,174
272,-0.412664,110.514676,1,0.5,6.61,174
273,-0.412664,110.524782,1,0.5,10.35,101
274,-0.412664,110.528151,1,0.5,10.35,101
275,-0.412664,110.53152,1,0.5,10.35,101
276,-0.412664,110.534888,1,0.5,10.35,101
277,-0.412664,110.555101,1,0.5,3.39,299
278,-0.412664,110.558469,1,0.5,3.39,299
279,-0.412664,110.561838,1,0.5,3.39,299
280,-0.416032,110.339505,1,0.5,4.94,242
281,-0.416032,110.342874,1,0.5,4.94,242
282,-0.416032,110.346242,1,0.5,4.94,242
283,-0.416032,110.413616,1,0.5,34.06,20
284,-0.416032,110.416985,3,0.5,34.06,-1
285,-0.416032,110.420353,3,0.67,34.06,-1
286,-0.416032,110.423722,2,0.75,17.32,-1
287,-0.416032,110.427091,2,0.75,17.32,-1
288,-0.416032,110.430459,1,0.5,12.58,-1
289,-0.416032,110.433828,2,0.5,12.58,-1
290,-0.416032,110.437197,1,1.0,13.21,82
291,-0.416032,110.440565,1,1.0,13.21,82
292,-0.416032,110.443934,1,1.0,13.21,82
293,-0.416032,110.447303,1,0.5,11.0,97
294,-0.416032,110.507939,1,0.5,6.61,174
295,-0.416032,110.511308,1,0.5,6.61,174
296,-0.416032,110.514676,1,0.5,6.61,174
297,-0.416032,110.528151,1,0.5,8.26,130
298,-0.416032,110.53152,1,0.5,8.26,130
299,-0.416032,110.534888,1,0.5,8.26,130
300,-0.416032,110.538257,1,0.5,33.68,-1
301,-0.416032,110.541626,1,0.5,33.68,-1
302,-0.416032,110.544995,1,0.5,33.68,-1
303,-0.416032,110.555101,1,0.5,3.39,299
304,-0.416032,110.558469,1,0.5,3.39,299
305,-0.416032,110.561838,1,0.5,3.39,299
306,-0.419401,110.194652,1,0.5,3.14,254
307,-0.419401,110.19802,1,0.5,3.14,254
308,-0.419401,110.413616,1,0.5,34.06,20
309,-0.419401,110.416985,3,0.5,34.06,-1
310,-0.419401,110.420353,3,0.67,34.06,-1
311,-0.419401,110.423722,2,0.75,17.32,-1
312,-0.419401,110.427091,2,0.75,17.32,-1
313,-0.419401,110.433828,1,0.5,6.48,241
314,-0.419401,110.437197,1,1.0,13.21,82
315,-0.419401,110.440565,1,1.0,13.21,82
316,-0.419401,110.443934,1,1.0,13.21,82
317,-0.419401,110.447303,1,0.5,11.0,97
318,-0.419401,110.538257,1,0.5,33.68,-1
319,-0.419401,110.541626,1,0.5,33.68,-1
320,-0.419401,110.544995,1,0.5,33.68,-1
321,-0.419401,110.548363,1,0.5,23.82,-1
322,-0.42277,110.113803,1,0.5,5.12,253
323,-0.42277,110.117172,1,0.5,5.12,253
324,-0.42277,110.120541,1,0.5,5.12,253
325,-0.42277,110.123909,1,0.5,5.12,253
326,-0.42277,110.194652,1,0.5,3.14,254
327,-0.42277,110.19802,1,0.5,3.14,254
328,-0.42277,110.201389,1,0.5,3.14,254
329,-0.42277,110.413616,1,0.5,34.06,20
330,-0.42277,110.416985,1,0.5,34.06,20
331,-0.42277,110.420353,2,0.5,34.06,-1
332,-0.42277,110.423722,2,0.5,3.79,210
333,-0.42277,110.427091,2,0.5,3.79,210
334,-0.42277,110.430459,1,0.5,3.79,319
335,-0.42277,110.433828,1,0.5,6.48,241
336,-0.42277,110.437197,1,1.0,13.21,82
337,-0.42277,110.440565,1,1.0,13.21,82
338,-0.42277,110.443934,1,1.0,13.21,82
339,-0.42277,110.447303,1,0.5,11.0,97
340,-0.42277,110.538257,1,0.5,33.68,-1
341,-0.42277,110.541626,1,0.5,33.68,-1
342,-0.42277,110.544995,1,0.5,33.68,-1
343,-0.42277,110.548363,1,0.5,23.82,-1
344,-0.426138,110.194652,1,0.5,3.14,254
345,-0.426138,110.19802,1,0.5,3.14,254
346,-0.426138,110.201389,1,0.5,3.14,254
347,-0.426138,110.423722,1,0.5,3.79,319
348,-0.426138,110.427091,1,0.5,3.79,319
349,-0.426138,110.430459,1,0.5,3.79,319
350,-0.426138,110.450671,1,0.5,7.57,140
351,-0.426138,110.45404,1,0.5,7.57,140
352,-0.426138,110.457409,1,0.5,7.57,140
353,-0.426138,110.460777,1,0.5,6.45,240
354,-0.429507,110.228338,1,0.5,12.15,-1
355,-0.429507,110.231707,1,0.5,12.15,-1
356,-0.429507,110.420353,1,0.5,5.16,158
357,-0.429507,110.423722,3,0.5,8.24,18
358,-0.429507,110.427091,3,0.5,8.24,18
359,-0.429507,110.430459,2,0.5,8.24,294
360,-0.429507,110.450671,1,0.5,7.57,140
361,-0.429507,110.45404,1,0.5,7.57,140
362,-0.429507,110.457409,1,0.5,7.57,140
363,-0.429507,110.460777,1,0.5,6.45,240
364,-0.429507,110.470884,1,0.5,6.29,188
365,-0.429507,110.474252,1,0.5,6.29,188
366,-0.429507,110.477621,1,0.5,6.29,188
367,-0.432876,110.157596,1,0.5,1.89,-1
368,-0.432876,110.160965,1,0.5,1.89,-1
369,-0.432876,110.349611,1,0.5,6.72,-1
370,-0.432876,110.35298,1,0.5,6.72,-1
371,-0.432876,110.356348,1,0.5,6.72,-1
372,-0.432876,110.420353,1,0.5,5.16,158
373,-0.432876,110.423722,2,0.5,8.24,294
374,-0.432876,110.427091,2,0.5,8.24,294
375,-0.432876,110.430459,1,0.5,8.24,130
376,-0.432876,110.470884,1,0.5,6.29,188
377,-0.432876,110.474252,1,0.5,6.29,188
378,-0.432876,110.477621,1,0.5,6.29,188
